cpse,material_code,material_description,category,material,size,unit,grade,benchmark_group_id,material_description_clean,category_clean,material_clean,size_clean,unit_clean,grade_clean,combined_text,extracted_size,extracted_material,extracted_grade
SAIL,STL10002,Industrial Gear Oil Grade 220,Lubricant,Mineral Oil,VG220,LT,ISO VG 220,G027,industrial gear oil grade 220,lubricant,mineral oil,vg220,lt,iso vg 220,industrial gear oil grade 220 lubricant mineral oil vg220 iso vg 220,,,
ONGC,ONG9902,Gear Oil VG 220 Industrial,Lubricant,Mineral,220,L,VG220,G027,gear oil vg 220 industrial,lubricant,mineral,220,l,vg220,gear oil vg 220 industrial lubricant mineral 220 vg220,,,
BHEL,BHL1028,Carbon Steel Welding Electrode 3.15mm,Welding,Carbon Steel,3.15 mm,KG,E6013,G028,carbon steel welding electrode 3.15mm,welding,carbon steel,3.15 mm,kg,e6013,carbon steel welding electrode 3.15mm welding carbon steel 3.15 mm e6013,15mm,carbon steel,e6013
NTPC,NTP5501,E6013 Welding Electrode 3.15 MM,Welding,CS,3.15mm,Kg,E6013,G028,e6013 welding electrode 3.15 mm,welding,cs,3.15mm,kg,e6013,e6013 welding electrode 3.15 mm welding cs 3.15mm e6013,15 mm,carbon steel,e6013
SAIL,STL11001,CS Welding Rod E6013 3.15mm,Welding,Carbon Steel,3.15 mm,KG,E6013,G028,cs welding rod e6013 3.15mm,welding,carbon steel,3.15 mm,kg,e6013,cs welding rod e6013 3.15mm welding carbon steel 3.15 mm e6013,15mm,carbon steel,e6013
ONGC,ONG10001,Welding Electrode E6013 Dia 3.15 MM,Welding,CS,3.15mm,Kg,E6013,G028,welding electrode e6013 dia 3.15 mm,welding,cs,3.15mm,kg,e6013,welding electrode e6013 dia 3.15 mm welding cs 3.15mm e6013,15 mm,carbon steel,e6013
BHEL,BHL1029,Stainless Steel Welding Electrode 3.15mm,Welding,Stainless Steel,3.15 mm,KG,E308L-16,G029,stainless steel welding electrode 3.15mm,welding,stainless steel,3.15 mm,kg,e308l-16,stainless steel welding electrode 3.15mm welding stainless steel 3.15 mm e308l-16,15mm,stainless steel,e308l-16
NTPC,NTP5502,E308L Stainless Steel Welding Rod 3.15 MM,Welding,SS,3.15mm,Kg,E308L-16,G029,e308l stainless steel welding rod 3.15 mm,welding,ss,3.15mm,kg,e308l-16,e308l stainless steel welding rod 3.15 mm welding ss 3.15mm e308l-16,15 mm,stainless steel,e308l
SAIL,STL11002,SS Welding Electrode E308L 3.15mm,Welding,Stainless Steel,3.15 mm,KG,E308L,G029,ss welding electrode e308l 3.15mm,welding,stainless steel,3.15 mm,kg,e308l,ss welding electrode e308l 3.15mm welding stainless steel 3.15 mm e308l,15mm,stainless steel,e308l
ONGC,ONG10002,Stainless Welding Electrode Dia 3.15 MM,Welding,SS,3.15mm,Kg,E308L,G029,stainless welding electrode dia 3.15 mm,welding,ss,3.15mm,kg,e308l,stainless welding electrode dia 3.15 mm welding ss 3.15mm e308l,15 mm,stainless steel,e308l
BHEL,BHL1030,Safety Helmet ISI Approved,PPE,ABS Plastic,Standard,NOS,IS 2925,G030,safety helmet isi approved,ppe,abs plastic,standard,nos,is 2925,safety helmet isi approved ppe abs plastic standard is 2925,2925,,
NTPC,NTP6605,Industrial Safety Helmet ISI Marked,PPE,ABS,Standard,Nos,IS2925,G030,industrial safety helmet isi marked,ppe,abs,standard,nos,is2925,industrial safety helmet isi marked ppe abs standard is2925,,,
SAIL,STL12001,ISI Safety Helmet Industrial Type,PPE,ABS Plastic,Standard,Number,IS 2925,G030,isi safety helmet industrial type,ppe,abs plastic,standard,number,is 2925,isi safety helmet industrial type ppe abs plastic standard is 2925,2925,,
ONGC,ONG11001,Industrial Protective Safety Helmet,PPE,ABS,Standard,EA,ISI,G030,industrial protective safety helmet,ppe,abs,standard,ea,isi,industrial protective safety helmet ppe abs standard isi,,,
