cpse_1,material_code_1,material_description_1,cpse_2,material_code_2,material_description_2,category,semantic_score,attribute_score,lexical_score,hybrid_score,confidence,conflicts,explanation,same_benchmark_group
ONGC,ONG1101,Stainless Steel Bolt M10 by 50,NTPC,NTP5524,Stainless Steel Hex Bolt 10mm x 60mm,Fastener,0.9792,0.6667,0.9722,0.8187999725341797,REVIEW REQUIRED,size,"Semantic=0.979, Attribute=0.667, Lexical=0.972. Potential difference: size.",False
NTPC,NTP5521,Stainless Steel Hex Bolt 10mm x 50mm,ONGC,ONG1104,Stainless Steel Bolt M10 by 60,Fastener,0.9792,0.6667,0.9722,0.8187999725341797,REVIEW REQUIRED,size,"Semantic=0.979, Attribute=0.667, Lexical=0.972. Potential difference: size.",False
BHEL,BHL1023,Induction Motor 10 HP 415V,SAIL,STL8002,3 PH MOTOR 10HP 415V IE3,Motor,0.9758,0.6667,0.9811,0.8184000253677368,REVIEW REQUIRED,size,"Semantic=0.976, Attribute=0.667, Lexical=0.981. Potential difference: size.",True
BHEL,BHL1021,GI Pipe 40 NB Medium Class,ONGC,ONG6603,Galvanised Pipe 40 NB Medium Class,Pipe,0.9937,0.6667,0.9189,0.8180000185966492,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.919. Potential difference: material.",True
NTPC,NTP1103,40 NB Galvanized Iron Pipe Medium Grade,SAIL,STL7003,GI PIPE DN40 MEDIUM,Pipe,0.9937,0.6667,0.9189,0.8180000185966492,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.919. Potential difference: material.",True
BHEL,BHL1021,GI Pipe 40 NB Medium Class,NTPC,NTP1103,40 NB Galvanized Iron Pipe Medium Grade,Pipe,0.9937,0.6667,0.9189,0.8180000185966492,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.919. Potential difference: material.",True
SAIL,STL7003,GI PIPE DN40 MEDIUM,ONGC,ONG6603,Galvanised Pipe 40 NB Medium Class,Pipe,0.9937,0.6667,0.9189,0.8180000185966492,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.919. Potential difference: material.",True
BHEL,BHL1022,Induction Motor 5 HP 415V,SAIL,STL8001,3 PH INDUCTION MOTOR 5HP 415V,Motor,0.975,0.6667,0.9804,0.8179000020027161,REVIEW REQUIRED,size,"Semantic=0.975, Attribute=0.667, Lexical=0.980. Potential difference: size.",True
BHEL,BHL1020,SS Seamless Pipe 25 NB Sch10,SAIL,STL7002,SS SEAMLESS PIPE DN25 SCH10,Pipe,0.9937,0.6667,0.9143,0.817300021648407,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.914. Potential difference: material.",True
BHEL,BHL1020,SS Seamless Pipe 25 NB Sch10,NTPC,NTP1102,Stainless Steel Seamless Pipe 25 NB Schedule 10,Pipe,0.9937,0.6667,0.9143,0.817300021648407,REVIEW REQUIRED,material,"Semantic=0.994, Attribute=0.667, Lexical=0.914. Potential difference: material.",True
SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,ONGC,ONG3303,CS Globe Valve 25 NB 150 Class,Valve,0.9927,0.6667,0.9091,0.8159999847412109,REVIEW REQUIRED,material,"Semantic=0.993, Attribute=0.667, Lexical=0.909. Potential difference: material.",True
BHEL,BHL1012,Globe Valve 25 NB Class 150,ONGC,ONG3303,CS Globe Valve 25 NB 150 Class,Valve,0.9927,0.6667,0.9091,0.8159999847412109,REVIEW REQUIRED,material,"Semantic=0.993, Attribute=0.667, Lexical=0.909. Potential difference: material.",True
SAIL,STL4001,CS Gate Valve 50NB CL150,ONGC,ONG3301,Carbon Steel Gate Valve 50 NB 150 Class,Valve,0.9925,0.6667,0.9091,0.8159000277519226,REVIEW REQUIRED,material,"Semantic=0.992, Attribute=0.667, Lexical=0.909. Potential difference: material.",True
BHEL,BHL1010,Gate Valve 50 NB Class 150,ONGC,ONG3301,Carbon Steel Gate Valve 50 NB 150 Class,Valve,0.9925,0.6667,0.9091,0.8159000277519226,REVIEW REQUIRED,material,"Semantic=0.992, Attribute=0.667, Lexical=0.909. Potential difference: material.",True
SAIL,STL3001,Deep Groove Bearing No 6205,BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
BHEL,BHL1006,Deep Groove Ball Bearing 6205,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
BHEL,BHL1006,Deep Groove Ball Bearing 6205,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
BHEL,BHL1006,Deep Groove Ball Bearing 6205,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
SAIL,STL3001,Deep Groove Bearing No 6205,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
SAIL,STL3001,Deep Groove Bearing No 6205,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,0.9741,0.6667,0.9677,0.815500020980835,REVIEW REQUIRED,size,"Semantic=0.974, Attribute=0.667, Lexical=0.968. Potential difference: size.",False
BHEL,BHL1010,Gate Valve 50 NB Class 150,SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,Valve,0.9719,0.6667,0.9722,0.8151000142097473,REVIEW REQUIRED,size,"Semantic=0.972, Attribute=0.667, Lexical=0.972. Potential difference: size.",False
SAIL,STL4001,CS Gate Valve 50NB CL150,BHEL,BHL1012,Globe Valve 25 NB Class 150,Valve,0.9719,0.6667,0.9722,0.8151000142097473,REVIEW REQUIRED,size,"Semantic=0.972, Attribute=0.667, Lexical=0.972. Potential difference: size.",False
NTPC,NTP1101,50 NB Carbon Steel Seamless Pipe Schedule 40,SAIL,STL7001,CS SEAMLESS PIPE DN50 SCH40,Pipe,0.9912,0.6667,0.9062,0.8148999810218811,REVIEW REQUIRED,material,"Semantic=0.991, Attribute=0.667, Lexical=0.906. Potential difference: material.",True
SAIL,STL2046,MS HEX NUT M10,ONGC,ONG1102,Mild Steel Nut Size M10,Fastener,0.9927,0.6667,0.8966,0.8141999840736389,REVIEW REQUIRED,material,"Semantic=0.993, Attribute=0.667, Lexical=0.897. Potential difference: material.",True
BHEL,BHL1002,MS Hex Nut M10,ONGC,ONG1102,Mild Steel Nut Size M10,Fastener,0.9927,0.6667,0.8966,0.8141999840736389,REVIEW REQUIRED,material,"Semantic=0.993, Attribute=0.667, Lexical=0.897. Potential difference: material.",True
BHEL,BHL1029,Stainless Steel Welding Electrode 3.15mm,SAIL,STL11002,SS Welding Electrode E308L 3.15mm,Welding,0.9716,0.6667,0.9663,0.8141000270843506,REVIEW REQUIRED,grade/specification,"Semantic=0.972, Attribute=0.667, Lexical=0.966. Potential difference: grade/specification.",True
BHEL,BHL1027,Industrial Gear Oil 220,NTPC,NTP4402,Gear Lubricating Oil ISO VG 220,Lubricant,0.965,0.6667,0.9859,0.8137000203132629,REVIEW REQUIRED,grade/specification,"Semantic=0.965, Attribute=0.667, Lexical=0.986. Potential difference: grade/specification.",True
BHEL,BHL1023,Induction Motor 10 HP 415V,NTPC,NTP2202,10 HP Three Phase Motor 415 Volt,Motor,0.9961,0.6667,0.88,0.8133999705314636,REVIEW REQUIRED,material,"Semantic=0.996, Attribute=0.667, Lexical=0.880. Potential difference: material.",True
BHEL,BHL1023,Induction Motor 10 HP 415V,ONGC,ONG7702,Three Phase Induction Motor 10 HP,Motor,0.9961,0.6667,0.88,0.8133999705314636,REVIEW REQUIRED,material,"Semantic=0.996, Attribute=0.667, Lexical=0.880. Potential difference: material.",True
BHEL,BHL1022,Induction Motor 5 HP 415V,NTPC,NTP2201,5 HP Three Phase Induction Motor 415 Volt,Motor,0.9958,0.6667,0.875,0.8125,REVIEW REQUIRED,material,"Semantic=0.996, Attribute=0.667, Lexical=0.875. Potential difference: material.",True
BHEL,BHL1022,Induction Motor 5 HP 415V,ONGC,ONG7701,Three Phase Motor 5 HP 415 V,Motor,0.9958,0.6667,0.875,0.8125,REVIEW REQUIRED,material,"Semantic=0.996, Attribute=0.667, Lexical=0.875. Potential difference: material.",True
NTPC,NTP5502,E308L Stainless Steel Welding Rod 3.15 MM,ONGC,ONG10002,Stainless Welding Electrode Dia 3.15 MM,Welding,0.9697,0.6667,0.96,0.8122000098228455,REVIEW REQUIRED,grade/specification,"Semantic=0.970, Attribute=0.667, Lexical=0.960. Potential difference: grade/specification.",True
SAIL,STL4001,CS Gate Valve 50NB CL150,BHEL,BHL1011,Gate Valve 80 NB Class 150,Valve,0.9627,0.6667,0.9722,0.8105000257492065,REVIEW REQUIRED,size,"Semantic=0.963, Attribute=0.667, Lexical=0.972. Potential difference: size.",False
BHEL,BHL1010,Gate Valve 50 NB Class 150,SAIL,STL4002,CS GATE VALVE 80NB CLASS150,Valve,0.9627,0.6667,0.9722,0.8105000257492065,REVIEW REQUIRED,size,"Semantic=0.963, Attribute=0.667, Lexical=0.972. Potential difference: size.",False
BHEL,BHL1026,Lithium Grease EP2,ONGC,ONG9901,EP-2 Lithium Grease,Lubricant,0.9739,0.6667,0.918,0.8080000281333923,REVIEW REQUIRED,material,"Semantic=0.974, Attribute=0.667, Lexical=0.918. Potential difference: material.",True
BHEL,BHL1027,Industrial Gear Oil 220,SAIL,STL10002,Industrial Gear Oil Grade 220,Lubricant,0.955,0.6667,0.973,0.8068000078201294,REVIEW REQUIRED,size,"Semantic=0.955, Attribute=0.667, Lexical=0.973. Potential difference: size.",True
NTPC,NTP3301,20 Cubic Meter Per Hour Centrifugal Pump,SAIL,STL9002,Centrifugal Pump Capacity 40 M3/Hr,Pump,0.9582,0.6667,0.9615,0.8065999746322632,REVIEW REQUIRED,size,"Semantic=0.958, Attribute=0.667, Lexical=0.962. Potential difference: size.",False
NTPC,NTP3301,20 Cubic Meter Per Hour Centrifugal Pump,ONGC,ONG8802,CI Centrifugal Pump 40 m3 per hour,Pump,0.9582,0.6667,0.9615,0.8065999746322632,REVIEW REQUIRED,size,"Semantic=0.958, Attribute=0.667, Lexical=0.962. Potential difference: size.",False
BHEL,BHL1024,Centrifugal Pump 20 m3/hr,ONGC,ONG8802,CI Centrifugal Pump 40 m3 per hour,Pump,0.9582,0.6667,0.9615,0.8065999746322632,REVIEW REQUIRED,size,"Semantic=0.958, Attribute=0.667, Lexical=0.962. Potential difference: size.",False
ONGC,ONG8801,CI Centrifugal Pump 20 Cubic Meter Hour,BHEL,BHL1025,Centrifugal Pump 40 m3/hr,Pump,0.9582,0.6667,0.9615,0.8065999746322632,REVIEW REQUIRED,size,"Semantic=0.958, Attribute=0.667, Lexical=0.962. Potential difference: size.",False
ONGC,ONG8801,CI Centrifugal Pump 20 Cubic Meter Hour,SAIL,STL9002,Centrifugal Pump Capacity 40 M3/Hr,Pump,0.9582,0.6667,0.9615,0.8065999746322632,REVIEW REQUIRED,size,"Semantic=0.958, Attribute=0.667, Lexical=0.962. Potential difference: size.",False
BHEL,BHL1024,Centrifugal Pump 20 m3/hr,SAIL,STL9002,Centrifugal Pump Capacity 40 M3/Hr,Pump,0.9582,0.6667,0.9615,0.8065999746322632,REVIEW REQUIRED,size,"Semantic=0.958, Attribute=0.667, Lexical=0.962. Potential difference: size.",False
NTPC,NTP3301,20 Cubic Meter Per Hour Centrifugal Pump,BHEL,BHL1025,Centrifugal Pump 40 m3/hr,Pump,0.9582,0.6667,0.9615,0.8065999746322632,REVIEW REQUIRED,size,"Semantic=0.958, Attribute=0.667, Lexical=0.962. Potential difference: size.",False
SAIL,STL3002,Ball Bearing 6206 Deep Groove,BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
NTPC,NTP6602,6206 Deep Groove Bearing,BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
BHEL,BHL1007,Deep Groove Ball Bearing 6206,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
BHEL,BHL1007,Deep Groove Ball Bearing 6206,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
BHEL,BHL1007,Deep Groove Ball Bearing 6206,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
NTPC,NTP6602,6206 Deep Groove Bearing,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
SAIL,STL3002,Ball Bearing 6206 Deep Groove,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
ONGC,ONG2202,Deep Groove Bearing 6206,BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
ONGC,ONG2202,Deep Groove Bearing 6206,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
NTPC,NTP6602,6206 Deep Groove Bearing,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
SAIL,STL3002,Ball Bearing 6206 Deep Groove,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
ONGC,ONG2202,Deep Groove Bearing 6206,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,0.9658,0.6667,0.9355,0.8065000176429749,REVIEW REQUIRED,size,"Semantic=0.966, Attribute=0.667, Lexical=0.935. Potential difference: size.",False
SAIL,STL9001,Centrifugal Pump Capacity 20 M3/Hr,NTPC,NTP3302,40 Cubic Meter Per Hour Centrifugal Pump,Pump,0.9465,0.6667,0.9697,0.8019999861717224,REVIEW REQUIRED,size,"Semantic=0.946, Attribute=0.667, Lexical=0.970. Potential difference: size.",False
SAIL,STL4002,CS GATE VALVE 80NB CLASS150,BHEL,BHL1012,Globe Valve 25 NB Class 150,Valve,0.9515,0.6667,0.9444,0.8007000088691711,REVIEW REQUIRED,size,"Semantic=0.951, Attribute=0.667, Lexical=0.944. Potential difference: size.",False
BHEL,BHL1011,Gate Valve 80 NB Class 150,SAIL,STL4003,Carbon Steel Globe Valve 25NB Class150,Valve,0.9515,0.6667,0.9444,0.8007000088691711,REVIEW REQUIRED,size,"Semantic=0.951, Attribute=0.667, Lexical=0.944. Potential difference: size.",False
NTPC,NTP7701,50 NB Gate Valve Class 150,ONGC,ONG3302,Carbon Steel Gate Valve 80 NB,Valve,0.9452,0.6667,0.9643,0.800599992275238,REVIEW REQUIRED,size,"Semantic=0.945, Attribute=0.667, Lexical=0.964. Potential difference: size.",False
NTPC,NTP3302,40 Cubic Meter Per Hour Centrifugal Pump,ONGC,ONG8802,CI Centrifugal Pump 40 m3 per hour,Pump,0.962,0.6667,0.8814,0.796500027179718,REVIEW REQUIRED,grade/specification,"Semantic=0.962, Attribute=0.667, Lexical=0.881. Potential difference: grade/specification.",True
NTPC,NTP3302,40 Cubic Meter Per Hour Centrifugal Pump,SAIL,STL9002,Centrifugal Pump Capacity 40 M3/Hr,Pump,0.962,0.6667,0.8814,0.796500027179718,REVIEW REQUIRED,grade/specification,"Semantic=0.962, Attribute=0.667, Lexical=0.881. Potential difference: grade/specification.",True
BHEL,BHL1025,Centrifugal Pump 40 m3/hr,NTPC,NTP3302,40 Cubic Meter Per Hour Centrifugal Pump,Pump,0.962,0.6667,0.8814,0.796500027179718,REVIEW REQUIRED,grade/specification,"Semantic=0.962, Attribute=0.667, Lexical=0.881. Potential difference: grade/specification.",True
NTPC,NTP7703,25 NB Globe Valve CL 150,ONGC,ONG3303,CS Globe Valve 25 NB 150 Class,Valve,0.9368,0.6667,0.9655,0.796500027179718,REVIEW REQUIRED,grade/specification,"Semantic=0.937, Attribute=0.667, Lexical=0.966. Potential difference: grade/specification.",True
BHEL,BHL1024,Centrifugal Pump 20 m3/hr,SAIL,STL9001,Centrifugal Pump Capacity 20 M3/Hr,Pump,0.9587,0.6667,0.8814,0.7949000000953674,REVIEW REQUIRED,grade/specification,"Semantic=0.959, Attribute=0.667, Lexical=0.881. Potential difference: grade/specification.",True
NTPC,NTP3301,20 Cubic Meter Per Hour Centrifugal Pump,SAIL,STL9001,Centrifugal Pump Capacity 20 M3/Hr,Pump,0.9587,0.6667,0.8814,0.7949000000953674,REVIEW REQUIRED,grade/specification,"Semantic=0.959, Attribute=0.667, Lexical=0.881. Potential difference: grade/specification.",True
SAIL,STL9001,Centrifugal Pump Capacity 20 M3/Hr,ONGC,ONG8801,CI Centrifugal Pump 20 Cubic Meter Hour,Pump,0.9587,0.6667,0.8814,0.7949000000953674,REVIEW REQUIRED,grade/specification,"Semantic=0.959, Attribute=0.667, Lexical=0.881. Potential difference: grade/specification.",True
BHEL,BHL1015,Spiral Wound Gasket 100 NB,NTPC,NTP8802,100 NB Spiral Wound Graphite Gasket,Gasket,0.9266,0.6667,0.9808,0.7937999963760376,REVIEW REQUIRED,grade/specification,"Semantic=0.927, Attribute=0.667, Lexical=0.981. Potential difference: grade/specification.",True
BHEL,BHL1015,Spiral Wound Gasket 100 NB,ONGC,ONG4402,Spiral Wound Gasket 100 NB Graphite,Gasket,0.9266,0.6667,0.9808,0.7937999963760376,REVIEW REQUIRED,grade/specification,"Semantic=0.927, Attribute=0.667, Lexical=0.981. Potential difference: grade/specification.",True
NTPC,NTP7701,50 NB Gate Valve Class 150,ONGC,ONG3301,Carbon Steel Gate Valve 50 NB 150 Class,Valve,0.9301,0.6667,0.9655,0.7932000160217285,REVIEW REQUIRED,grade/specification,"Semantic=0.930, Attribute=0.667, Lexical=0.966. Potential difference: grade/specification.",True
BHEL,BHL1001,SS Bolt M10 X 50,SAIL,STL2045,SS HEX BOLT M10-50,Fastener,0.9071,0.6667,0.9888,0.7851999998092651,REVIEW REQUIRED,grade/specification,"Semantic=0.907, Attribute=0.667, Lexical=0.989. Potential difference: grade/specification.",True
NTPC,NTP1101,50 NB Carbon Steel Seamless Pipe Schedule 40,ONGC,ONG6601,Carbon Steel Seamless Pipe 50 NB Schedule 40,Pipe,0.9197,0.6667,0.9455,0.7850000262260437,REVIEW REQUIRED,grade/specification,"Semantic=0.920, Attribute=0.667, Lexical=0.945. Potential difference: grade/specification.",True
ONGC,ONG3302,Carbon Steel Gate Valve 80 NB,NTPC,NTP7703,25 NB Globe Valve CL 150,Valve,0.9208,0.6667,0.9286,0.7829999923706055,REVIEW REQUIRED,size,"Semantic=0.921, Attribute=0.667, Lexical=0.929. Potential difference: size.",False
BHEL,BHL1020,SS Seamless Pipe 25 NB Sch10,ONGC,ONG6602,Stainless Steel Pipe 25 NB Schedule 10,Pipe,0.91,0.6667,0.9589,0.7821999788284302,REVIEW REQUIRED,grade/specification,"Semantic=0.910, Attribute=0.667, Lexical=0.959. Potential difference: grade/specification.",True
BHEL,BHL1019,MS Seamless Pipe 50 NB Sch40,SAIL,STL7001,CS SEAMLESS PIPE DN50 SCH40,Pipe,0.9354,0.6667,0.8529,0.7789999842643738,REVIEW REQUIRED,material,"Semantic=0.935, Attribute=0.667, Lexical=0.853. Potential difference: material.",True
SAIL,STL3001,Deep Groove Bearing No 6205,NTPC,NTP6603,30205 Tapered Roller Bearing,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
SAIL,STL3001,Deep Groove Bearing No 6205,ONGC,ONG2203,Conical Roller Bearing 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
BHEL,BHL1006,Deep Groove Ball Bearing 6205,SAIL,STL3003,Taper Roller Bearing No 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
BHEL,BHL1006,Deep Groove Ball Bearing 6205,ONGC,ONG2203,Conical Roller Bearing 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
SAIL,STL3001,Deep Groove Bearing No 6205,BHEL,BHL1008,Taper Roller Bearing 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,NTPC,NTP6603,30205 Tapered Roller Bearing,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,BHEL,BHL1008,Taper Roller Bearing 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
ONGC,ONG2201,Ball Bearing 6205 Deep Groove,SAIL,STL3003,Taper Roller Bearing No 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,BHEL,BHL1008,Taper Roller Bearing 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
BHEL,BHL1006,Deep Groove Ball Bearing 6205,NTPC,NTP6603,30205 Tapered Roller Bearing,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,SAIL,STL3003,Taper Roller Bearing No 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
NTPC,NTP6601,6205 Ball Bearing Deep Groove,ONGC,ONG2203,Conical Roller Bearing 30205,Bearing,0.8934,0.6667,0.9524,0.7728999853134155,REVIEW REQUIRED,size,"Semantic=0.893, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
ONGC,ONG1101,Stainless Steel Bolt M10 by 50,NTPC,NTP5523,Stainless Steel Plain Washer 10mm,Fastener,0.9043,0.6667,0.9143,0.772599995136261,REVIEW REQUIRED,size,"Semantic=0.904, Attribute=0.667, Lexical=0.914. Potential difference: size.",False
BHEL,BHL1008,Taper Roller Bearing 30205,ONGC,ONG2204,Deep Groove Bearing No 6305,Bearing,0.8905,0.6667,0.9524,0.771399974822998,REVIEW REQUIRED,size,"Semantic=0.891, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
ONGC,ONG2203,Conical Roller Bearing 30205,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,0.8905,0.6667,0.9524,0.771399974822998,REVIEW REQUIRED,size,"Semantic=0.891, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
NTPC,NTP6603,30205 Tapered Roller Bearing,BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,0.8905,0.6667,0.9524,0.771399974822998,REVIEW REQUIRED,size,"Semantic=0.891, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
BHEL,BHL1008,Taper Roller Bearing 30205,NTPC,NTP6604,6305 Deep Groove Bearing,Bearing,0.8905,0.6667,0.9524,0.771399974822998,REVIEW REQUIRED,size,"Semantic=0.891, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
BHEL,BHL1008,Taper Roller Bearing 30205,SAIL,STL3004,Ball Bearing 6305 Deep Groove,Bearing,0.8905,0.6667,0.9524,0.771399974822998,REVIEW REQUIRED,size,"Semantic=0.891, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
SAIL,STL3003,Taper Roller Bearing No 30205,BHEL,BHL1009,Deep Groove Ball Bearing 6305,Bearing,0.8905,0.6667,0.9524,0.771399974822998,REVIEW REQUIRED,size,"Semantic=0.891, Attribute=0.667, Lexical=0.952. Potential difference: size.",False
